stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
20MICRONS,20 Microns Limited,EQ,6-Oct-08,INE144J01027,,#N/A,PPAP Automotive,Auto Ancillaries,284.75,19.35,7.29,399,Automotive
21STCENMGM,21st Century Management Services Limited,EQ,3-May-95,INE253B01015,,#N/A,Munjal Auto Ind,Auto Ancillaries,64.45,4.2,6.97,645,Automotive
3IINFOTECH,3i Infotech Limited,EQ,22-Apr-05,INE748C01020,,#N/A,Remsons Ind,Auto Ancillaries,102.7,5.35,5.5,59,Automotive
3MINDIA,3M India Limited,EQ,13-Aug-04,INE470A01017,,#N/A,JTEKT India,Auto Ancillaries,87.65,4.2,5.03,"2,143",Automotive
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,INE105C01023,,#N/A,HMT Limited,Auto - Tractors,21.3,1,4.93,"2,565",Automotive
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,INE618L01018,,#N/A,Omax Autos,Auto Ancillaries,48.85,1.95,4.16,104,Automotive
63MOONS,63 moons technologies limited,BE,20-Jun-05,INE111B01023,,#N/A,Autolite India,Auto Ancillaries,24,0.95,4.12,27,Automotive
8KMILES,8K Miles Software Services Limited,BE,29-Jan-14,INE650K01021,,#N/A,Minda Corp,Auto Ancillaries,91.1,3.1,3.52,"2,070",Automotive
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,INE619I01012,,#N/A,Rane Holdings,Auto Ancillaries,540.1,18.25,3.5,771,Automotive
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,INE087Z01016,,#N/A,Sundaram-Clayto,Auto Ancillaries,2249.85,66.3,3.04,"4,552",Automotive
AARON,Aaron Industries Limited,EQ,6-Nov-20,INE721Z01010,,#N/A,Banco Products,Auto Ancillaries,146.65,4.25,2.98,"1,049",Automotive
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,INE767A01016,,#N/A,Jamna Auto,Auto Ancillaries,55.95,1.5,2.75,"2,229",Automotive
AARTIIND,Aarti Industries Limited,EQ,8-Feb-95,INE769A01020,,#N/A,Munjal Showa,Auto Ancillaries,147.45,3.05,2.11,590,Automotive
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,INE09EO01013,,#N/A,Pricol,Auto Ancillaries,48.4,1,2.11,590,Automotive
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-Nov-06,INE273D01019,,#N/A,Rane Engine,Auto Ancillaries,225.4,3.95,1.78,151,Automotive
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,INE754X01016,,#N/A,Motherson Sumi,Auto Ancillaries,157.05,2.75,1.78,"49,595",Automotive
AAVAS,Aavas Financiers Limited,EQ,8-Oct-18,INE216P01012,,#N/A,Sandhar Technol,Auto Ancillaries,242.6,3.7,1.55,"1,460",Automotive
ABAN,Aban Offshore Limited,BE,29-Mar-95,INE421A01028,,#N/A,Hind Motors,Auto - Cars & Jeeps,6.7,0.1,1.52,140,Automotive
ABB,ABB India Limited,EQ,8-Feb-95,INE117A01022,,#N/A,JBM Auto,Auto Ancillaries,277.7,3.85,1.41,"1,313",Automotive
ABBOTINDIA,Abbott India Limited,EQ,8-Jan-10,INE358A01014,,#N/A,Precision Camsh,Auto Ancillaries,45.3,0.6,1.34,430,Automotive
ABCAPITAL,Aditya Birla Capital Limited,EQ,1-Sep-17,INE674K01013,,Wheels India Limited,Wheels,Auto Ancillaries,482.85,6.1,1.28,"1,162",Automotive
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,INE647O01011,,#N/A,Shivam Auto,Auto Ancillaries,20.9,0.25,1.21,209,Automotive
ABMINTLTD,ABM International Limited,BE,14-Jun-16,INE251C01017,,#N/A,Hind Composites,Auto Ancillaries,222.1,2.6,1.18,328,Automotive
ACC,ACC Limited,EQ,20-Nov-96,INE012A01025,,#N/A,Shriram Pistons,Auto Ancillaries,624.9,6.9,1.12,"1,398",Automotive
ACCELYA,Accelya Solutions India Limited,EQ,1-Dec-99,INE793A01012,,#N/A,Harita Seating,Auto Ancillaries,485,5.05,1.05,377,Automotive
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,INE648Z01015,,#N/A,Sharda Motor,Auto Ancillaries,1787.35,17.9,1.01,"1,063",Automotive
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,INE731H01025,,#N/A,Rane Madras,Auto Ancillaries,235.7,2.2,0.94,296,Automotive
ADANIENT,Adani Enterprises Limited,EQ,4-Jun-97,INE423A01024,,Subros Limited,Subros,Auto Ancillaries,325.85,2.75,0.85,"2,126",Automotive
ADANIGAS,Adani Gas Limited,EQ,5-Nov-18,INE399L01023,,#N/A,Setco Auto,Auto Ancillaries,12.1,0.1,0.83,162,Automotive
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,INE364U01010,,#N/A,Gabriel India,Auto Ancillaries,113.35,0.8,0.71,"1,628",Automotive
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,INE742F01042,,#N/A,WABCO India,Auto Ancillaries,5699.8,34.3,0.61,"10,811",Automotive
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,INE814H01011,,#N/A,Federal-Mogul,Auto Ancillaries,318.6,1.8,0.57,"1,772",Automotive
ADANITRANS,Adani Transmission Limited,EQ,31-Jul-15,INE931S01010,,#N/A,Rico Auto,Auto Ancillaries,35.8,0.15,0.42,484,Automotive
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,INE982B01019,,#N/A,UCAL Fuel,Auto Ancillaries,131.85,0.5,0.38,292,Automotive
ADHUNIKIND,Adhunik Industries Limited,EQ,1-Jul-16,INE452L01012,,#N/A,Apollo Tyres,Tyres,193.6,0.6,0.31,"11,075",Automotive
ADL,Archidply Decor Limited,BE,1-Oct-20,INE0CHO01012,,#N/A,Lumax Auto Tech,Auto Ancillaries,118.2,0.35,0.3,806,Automotive
ADORWELD,Ador Welding Limited,EQ,10-May-95,INE045A01017,,#N/A,Rane Brake,Auto Ancillaries,717.95,2.1,0.29,568,Automotive
ADROITINFO,Adroit Infotech Limited,BE,13-Aug-97,INE737B01033,,#N/A,Ceat,Tyres,1162.6,3.4,0.29,"4,703",Automotive
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,INE102I01027,,#N/A,Talbros Auto,Auto Ancillaries,149,0.25,0.17,184,Automotive
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BE,25-Jun-07,INE199C01026,,#N/A,Steel Str Wheel,Auto Ancillaries,515.3,0.7,0.14,804,Automotive
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,INE837H01020,,#N/A,FIEM Ind,Auto Ancillaries,538.85,0.65,0.12,709,Automotive
AEGISCHEM,Aegis Logistics Limited,EQ,3-Apr-96,INE208C01025,,#N/A,India Nippon,Auto Ancillaries,356.55,0.4,0.11,807,Automotive
